pattern_id,hub_label,keyword,search_volume,article_h1,article_meta_title,article_meta_description,article_url,status,existing_url
pattern_001,Reinigungstabletten Hub,alternative zu jura reinigungstabletten,170,Alternative zu jura reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu jura reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu jura reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-jura-reinigungstabletten/,already_covered_by_existing_page,https://example.com/jura-reinigungstabletten-alternative/
pattern_001,Reinigungstabletten Hub,alternative zu delonghi reinigungstabletten,140,Alternative zu delonghi reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu delonghi reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu delonghi reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-delonghi-reinigungstabletten/,already_covered_by_existing_page,https://example.com/delonghi-reinigungstabletten-alternative/
pattern_001,Reinigungstabletten Hub,alternative zu siemens reinigungstabletten,90,Alternative zu siemens reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu siemens reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu siemens reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-siemens-reinigungstabletten/,already_covered_by_existing_page,https://example.com/siemens-reinigungstabletten-alternative/
pattern_001,Reinigungstabletten Hub,alternative zu philips reinigungstabletten,70,Alternative zu philips reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu philips reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu philips reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-philips-reinigungstabletten/,already_covered_by_existing_page,https://example.com/philips-reinigungstabletten-alternative/
pattern_020,Entkalken Hub,delonghi magnifica entkalken,2400,Delonghi magnifica entkalken: Schritt-für-Schritt-Anleitung,Delonghi magnifica entkalken – so geht's richtig | Anleitung,"Delonghi magnifica entkalken leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/delonghi-magnifica-entkalken/,already_covered_by_existing_page,https://example.com/delonghi-magnifica-entkalken/
pattern_020,Entkalken Hub,jura e8 entkalken,1900,Jura e8 entkalken: Schritt-für-Schritt-Anleitung,Jura e8 entkalken – so geht's richtig | Anleitung,"Jura e8 entkalken leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/jura-e8-entkalken/,already_covered_by_existing_page,https://example.com/jura-e8-entkalken/
pattern_020,Entkalken Hub,siemens eq6 entkalken,880,Siemens eq6 entkalken: Schritt-für-Schritt-Anleitung,Siemens eq6 entkalken – so geht's richtig | Anleitung,"Siemens eq6 entkalken leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/siemens-eq6-entkalken/,already_covered_by_existing_page,https://example.com/siemens-eq6-entkalken/
pattern_020,Entkalken Hub,philips 5400 entkalken,720,Philips 5400 entkalken: Schritt-für-Schritt-Anleitung,Philips 5400 entkalken – so geht's richtig | Anleitung,"Philips 5400 entkalken leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/philips-5400-entkalken/,already_covered_by_existing_page,https://example.com/philips-5400-entkalken/
pattern_020,Entkalken Hub,saeco xelsis entkalken,390,Saeco xelsis entkalken: Schritt-für-Schritt-Anleitung,Saeco xelsis entkalken – so geht's richtig | Anleitung,"Saeco xelsis entkalken leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/saeco-xelsis-entkalken/,already_covered_by_existing_page,https://example.com/saeco-xelsis-entkalken/
pattern_024,Kaffeebohnen Hub,beste kaffeebohnen für vollautomat,2400,"Beste kaffeebohnen für vollautomat: Test, Vergleich & Empfehlungen",Beste kaffeebohnen für vollautomat im Test & Vergleich | Kaufberatung,"Beste kaffeebohnen für vollautomat im Vergleich: Top-Empfehlungen, Vergleichstabelle, Kaufkriterien und Preise – kompakt und unabhängig bewertet.",/beste-kaffeebohnen-fur-vollautomat/,already_covered_by_existing_page,https://example.com/beste-kaffeebohnen-fuer-vollautomat/
pattern_024,Kaffeebohnen Hub,beste kaffeebohnen für espresso,1900,"Beste kaffeebohnen für espresso: Test, Vergleich & Empfehlungen",Beste kaffeebohnen für espresso im Test & Vergleich | Kaufberatung,"Beste kaffeebohnen für espresso im Vergleich: Top-Empfehlungen, Vergleichstabelle, Kaufkriterien und Preise – kompakt und unabhängig bewertet.",/beste-kaffeebohnen-fur-espresso/,already_covered_by_existing_page,https://example.com/beste-kaffeebohnen-fuer-espresso/
pattern_024,Kaffeebohnen Hub,beste kaffee für siebträger,1000,"Beste kaffee für siebträger: Test, Vergleich & Empfehlungen",Beste kaffee für siebträger im Test & Vergleich | Kaufberatung,"Beste kaffee für siebträger im Vergleich: Top-Empfehlungen, Vergleichstabelle, Kaufkriterien und Preise – kompakt und unabhängig bewertet.",/beste-kaffee-fur-siebtrager/,already_covered_by_existing_page,https://example.com/beste-kaffee-fuer-siebtraeger/
pattern_024,Kaffeebohnen Hub,beste bohnen für cappuccino,880,"Beste bohnen für cappuccino: Test, Vergleich & Empfehlungen",Beste bohnen für cappuccino im Test & Vergleich | Kaufberatung,"Beste bohnen für cappuccino im Vergleich: Top-Empfehlungen, Vergleichstabelle, Kaufkriterien und Preise – kompakt und unabhängig bewertet.",/beste-bohnen-fur-cappuccino/,already_covered_by_existing_page,https://example.com/beste-bohnen-fuer-cappuccino/
pattern_024,Kaffeebohnen Hub,beste kaffee für latte macchiato,590,"Beste kaffee für latte macchiato: Test, Vergleich & Empfehlungen",Beste kaffee für latte macchiato im Test & Vergleich | Kaufberatung,"Beste kaffee für latte macchiato im Vergleich: Top-Empfehlungen, Vergleichstabelle, Kaufkriterien und Preise – kompakt und unabhängig bewertet.",/beste-kaffee-fur-latte-macchiato/,already_covered_by_existing_page,https://example.com/beste-kaffee-fuer-latte-macchiato/
pattern_038,Reinigen Hub,jura e8 reinigen,1300,Jura e8 reinigen: Schritt-für-Schritt-Anleitung,Jura e8 reinigen – so geht's richtig | Anleitung,"Jura e8 reinigen leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/jura-e8-reinigen/,already_covered_by_existing_page,https://example.com/jura-e8-reinigen/
pattern_038,Reinigen Hub,delonghi magnifica reinigen,1000,Delonghi magnifica reinigen: Schritt-für-Schritt-Anleitung,Delonghi magnifica reinigen – so geht's richtig | Anleitung,"Delonghi magnifica reinigen leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/delonghi-magnifica-reinigen/,already_covered_by_existing_page,https://example.com/delonghi-magnifica-reinigen/
pattern_038,Reinigen Hub,philips 5400 reinigen,480,Philips 5400 reinigen: Schritt-für-Schritt-Anleitung,Philips 5400 reinigen – so geht's richtig | Anleitung,"Philips 5400 reinigen leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/philips-5400-reinigen/,already_covered_by_existing_page,https://example.com/philips-5400-reinigen/
pattern_038,Reinigen Hub,saeco xelsis reinigen,320,Saeco xelsis reinigen: Schritt-für-Schritt-Anleitung,Saeco xelsis reinigen – so geht's richtig | Anleitung,"Saeco xelsis reinigen leicht gemacht: Schritt-für-Schritt-Anleitung, passende Mittel, Intervalle und typische Fehler im Überblick.",/saeco-xelsis-reinigen/,already_covered_by_existing_page,https://example.com/saeco-xelsis-reinigen/
pattern_039,Reinigungstabletten Hub,alternative zu jura reinigungstabletten,170,Alternative zu jura reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu jura reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu jura reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-jura-reinigungstabletten/,already_covered_by_existing_page,https://example.com/jura-reinigungstabletten-alternative/
pattern_039,Reinigungstabletten Hub,alternative zu delonghi reinigungstabletten,140,Alternative zu delonghi reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu delonghi reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu delonghi reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-delonghi-reinigungstabletten/,already_covered_by_existing_page,https://example.com/delonghi-reinigungstabletten-alternative/
pattern_039,Reinigungstabletten Hub,alternative zu siemens reinigungstabletten,90,Alternative zu siemens reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu siemens reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu siemens reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-siemens-reinigungstabletten/,already_covered_by_existing_page,https://example.com/siemens-reinigungstabletten-alternative/
pattern_039,Reinigungstabletten Hub,alternative zu philips reinigungstabletten,70,Alternative zu philips reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu philips reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu philips reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-philips-reinigungstabletten/,already_covered_by_existing_page,https://example.com/philips-reinigungstabletten-alternative/
pattern_040,Rezept Hub,cappuccino rezept,8100,"Cappuccino rezept: Zutaten, Mengen & Zubereitung",Cappuccino rezept – Original-Rezept mit Mengenangaben,"Cappuccino rezept einfach selbst machen: alle Zutaten, genaue Mengenangaben und die Zubereitung Schritt für Schritt erklärt.",/cappuccino-rezept/,already_covered_by_existing_page,https://example.com/cappuccino-rezept/
pattern_040,Rezept Hub,cold brew rezept,5400,"Cold brew rezept: Zutaten, Mengen & Zubereitung",Cold brew rezept – Original-Rezept mit Mengenangaben,"Cold brew rezept einfach selbst machen: alle Zutaten, genaue Mengenangaben und die Zubereitung Schritt für Schritt erklärt.",/cold-brew-rezept/,already_covered_by_existing_page,https://example.com/cold-brew-rezept/
pattern_040,Rezept Hub,flat white rezept,1600,"Flat white rezept: Zutaten, Mengen & Zubereitung",Flat white rezept – Original-Rezept mit Mengenangaben,"Flat white rezept einfach selbst machen: alle Zutaten, genaue Mengenangaben und die Zubereitung Schritt für Schritt erklärt.",/flat-white-rezept/,already_covered_by_existing_page,https://example.com/flat-white-rezept/
pattern_040,Rezept Hub,affogato rezept,1300,"Affogato rezept: Zutaten, Mengen & Zubereitung",Affogato rezept – Original-Rezept mit Mengenangaben,"Affogato rezept einfach selbst machen: alle Zutaten, genaue Mengenangaben und die Zubereitung Schritt für Schritt erklärt.",/affogato-rezept/,already_covered_by_existing_page,https://example.com/affogato-rezept/
pattern_040,Rezept Hub,espresso tonic rezept,720,"Espresso tonic rezept: Zutaten, Mengen & Zubereitung",Espresso tonic rezept – Original-Rezept mit Mengenangaben,"Espresso tonic rezept einfach selbst machen: alle Zutaten, genaue Mengenangaben und die Zubereitung Schritt für Schritt erklärt.",/espresso-tonic-rezept/,already_covered_by_existing_page,https://example.com/espresso-tonic-rezept/
pattern_043,Reinigungstabletten Hub,alternative zu jura reinigungstabletten,170,Alternative zu jura reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu jura reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu jura reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-jura-reinigungstabletten/,already_covered_by_existing_page,https://example.com/jura-reinigungstabletten-alternative/
pattern_043,Reinigungstabletten Hub,alternative zu delonghi reinigungstabletten,140,Alternative zu delonghi reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu delonghi reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu delonghi reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-delonghi-reinigungstabletten/,already_covered_by_existing_page,https://example.com/delonghi-reinigungstabletten-alternative/
pattern_043,Reinigungstabletten Hub,alternative zu siemens reinigungstabletten,90,Alternative zu siemens reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu siemens reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu siemens reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-siemens-reinigungstabletten/,already_covered_by_existing_page,https://example.com/siemens-reinigungstabletten-alternative/
pattern_043,Reinigungstabletten Hub,alternative zu philips reinigungstabletten,70,Alternative zu philips reinigungstabletten: Die besten Alternativen im Überblick,Alternative zu philips reinigungstabletten – Top-Alternativen im Vergleich,"Alternative zu philips reinigungstabletten: Diese Alternativen überzeugen im Vergleich – mit Kompatibilität, Preisen und klaren Vor- und Nachteilen.",/alternative-zu-philips-reinigungstabletten/,already_covered_by_existing_page,https://example.com/philips-reinigungstabletten-alternative/
